종목명,종목코드,현재가,전일대비,등락률(%),거래량,거래대금,외국인보유율(%),시가총액
삼성전자,005930,253000,4500,1.81,11263348,2833332000000,46.56,1479108487000000
SK하이닉스,000660,1748000,58000,3.43,2742465,4744970000000,50.2,1276900654000000
삼성전자우,005935,193900,6800,3.63,3522633,680973000000,75.66,155579776000000
SK스퀘어,402340,1014000,14000,1.4,331782,333501000000,46.53,133770933000000
삼성전기,009150,1369000,52000,3.95,422460,571902000000,37.58,102255669000000
LG에너지솔루션,373220,367000,1500,0.41,297867,109970000000,5.52,85878000000000
현대차,005380,362000,-5000,-1.36,475653,171861000000,24.44,74122311000000
삼성바이오로직스,207940,1401000,-11000,-0.78,33281,46674000000,13.2,64853622000000
KB금융,105560,176500,700,0.4,989914,173976000000,79.06,62602385000000
삼성물산,028260,352000,5000,1.44,233236,81749000000,30.69,57082988000000
삼성생명,032830,283500,-2000,-0.7,257282,73116000000,23.16,56700000000000
한화에어로스페이스,012450,1052000,-11000,-1.03,96952,102201000000,45.52,54244697000000
두산에너빌리티,034020,83900,-2300,-2.67,2084649,175746000000,23.37,53743080000000
신한지주,055550,112000,-200,-0.18,780169,87175000000,61.86,52578426000000
기아,000270,120800,-1000,-0.82,522464,63147000000,39.26,47161890000000
HD현대중공업,329180,442500,-11000,-2.43,149876,66775000000,13.68,46445342000000
삼성SDI,006400,542000,-5000,-0.91,299622,163351000000,25.77,43677357000000
셀트리온,068270,177100,-400,-0.23,255688,45358000000,25.38,41196501000000
SK,034730,550000,0,0,97334,53209000000,30.34,39876486000000
하나금융지주,086790,136800,-800,-0.58,569002,77741000000,68.96,37068683000000
현대모비스,012330,383000,-11500,-2.92,294490,112889000000,38.11,34401284000000
LG전자,066570,199600,-2400,-1.19,378959,75411000000,29.64,32511773000000
NAVER,035420,201500,-4500,-2.18,517586,104347000000,36.07,30647015000000
LS ELECTRIC,010120,198400,3700,1.9,395954,78260000000,18.66,29760000000000
삼성화재,000810,656000,-5000,-0.76,61680,40638000000,57.66,29288742000000
우리금융지주,316140,36200,-150,-0.41,2175611,78441000000,50.2,26671673000000
효성중공업,298040,2788000,99000,3.68,38793,107893000000,26.96,25996839000000
POSCO홀딩스,005490,326500,-5500,-1.66,154586,50644000000,32.47,25872358000000
HD현대일렉트릭,267260,706000,6000,0.86,96230,68066000000,34.39,25449277000000
한화오션,042660,81700,-700,-0.85,462485,37783000000,10.23,25033974000000
고려아연,010130,1136000,-2000,-0.18,10982,12420000000,27.57,23711692000000
HD한국조선해양,009540,332500,-6500,-1.92,162877,54344000000,33.27,23532061000000
SK이노베이션,096770,136500,-5200,-3.67,503392,69689000000,15.77,23075705000000
두산,000150,1387000,98000,7.6,84444,114344000000,19.67,22460849000000
한미반도체,042700,224500,2000,0.9,483804,106874000000,7.1,21397588000000
메리츠금융지주,138040,125200,-1300,-1.03,188587,23621000000,14.3,20951878000000
한국전력,015760,31000,-350,-1.12,1060673,32886000000,20.91,19900886000000
HMM,011200,20350,-300,-1.45,736788,15054000000,8.67,19194892000000
LG화학,051910,271000,-500,-0.18,170070,46454000000,36.71,19130524000000
SK텔레콤,017670,88000,0,0,580679,50874000000,34.54,18901524000000
삼성중공업,010140,20350,-350,-1.69,2267915,46117000000,28.51,17908000000000
알테오젠,196170,256000,-4000,-1.54,311854,79190078000,15.29,17831714000000
KT&G,033780,171400,600,0.35,130041,22281000000,51.07,17793112000000
미래에셋증권,006800,31850,-200,-0.62,688159,21848000000,11.58,17295220000000
HD현대,267250,218000,-7000,-3.11,142672,31193000000,26.8,17220492000000
LG,003550,112700,-1600,-1.4,320984,36125000000,36.67,17039338000000
삼성에스디에스,018260,217500,-3000,-1.36,108615,23531000000,18.97,16829671000000
포스코퓨처엠,003670,188300,-1000,-0.53,289277,54689000000,9.58,16748573000000
S-Oil,010950,143700,-5000,-3.36,263692,38478000000,79.38,16178147000000
기업은행,024110,20250,-100,-0.49,792246,16028000000,13.67,16147873000000
현대글로비스,086280,200000,-4500,-2.2,178100,35851000000,46.63,15000000000000
카카오,035720,33600,-900,-2.61,1563699,52738000000,29.05,14884796000000
LIG디펜스앤에어로스페이스,079550,665000,-6000,-0.89,36105,24073000000,27.11,14630000000000
현대건설,000720,123200,-4900,-3.83,447215,55726000000,25.22,13719030000000
KT,030200,53000,0,0,98825,5231000000,49,13357149000000
에이피알,278470,351000,-10500,-2.9,261708,92079000000,37.87,13140792000000
한화시스템,272210,69000,-700,-1,243686,16843000000,10.49,13035437000000
현대로템,064350,119200,-2200,-1.81,244970,29291000000,39.36,13009761000000
한국항공우주,047810,125700,-3300,-2.56,216960,27407000000,23.87,12252620000000
DB손해보험,005830,186200,-2500,-1.32,151251,28430000000,43.38,12196164000000
LG이노텍,011070,512000,6000,1.19,84808,43265000000,26.77,12117558000000
